task_id,domain,anchor,layer,window,alpha,component,final_kl,final_flip,delta_nll_suffix,metric,value
math_15,math,mid,6,5,0.75,resid,4.178723884251667e-06,0.0,0.17083534598350525,,
math_15,math,mid,6,5,1.0,resid,1.501496740274888e-06,0.0,0.2030838429927826,,
math_15,math,mid,12,1,0.25,resid,-1.5695935928761173e-07,0.0,0.0005001723766326904,,
math_15,math,mid,12,1,0.5,resid,-4.081311999470927e-07,0.0,-0.0004749298095703125,,
math_15,math,mid,12,1,0.75,resid,-9.162367575754615e-08,0.0,0.000583350658416748,,
math_15,math,mid,12,1,1.0,resid,1.0321896581899637e-07,0.0,0.0020053088665008545,,
math_15,math,mid,12,3,0.25,resid,-6.385126738450708e-08,0.0,0.001857370138168335,,
math_15,math,mid,12,3,0.5,resid,-2.81020930970044e-07,0.0,0.001208275556564331,,
math_15,math,mid,12,3,0.75,resid,1.034960973811394e-06,0.0,0.07868751883506775,,
math_15,math,mid,12,3,1.0,resid,-5.701924976619921e-08,0.0,0.09497979283332825,,
math_15,math,mid,12,5,0.25,resid,-1.2048984388002282e-07,0.0,-0.0005745589733123779,,
math_15,math,mid,12,5,0.5,resid,-2.1303830521901546e-07,0.0,0.017919540405273438,,
math_15,math,mid,12,5,0.75,resid,1.6434487406513654e-06,0.0,0.17832279205322266,,
math_15,math,mid,12,5,1.0,resid,9.058124987859628e-07,0.0,0.20036116242408752,,
math_15,math,mid,16,1,0.25,resid,-3.487394337753358e-07,0.0,0.002305835485458374,,
math_15,math,mid,16,1,0.5,resid,-2.598650610252662e-07,0.0,0.00018271803855895996,,
math_15,math,mid,16,1,0.75,resid,-7.929376977244829e-08,0.0,0.0011424124240875244,,
math_15,math,mid,16,1,1.0,resid,3.1534188593695944e-08,0.0,0.002775639295578003,,
math_15,math,mid,16,3,0.25,resid,-8.435744547341528e-08,0.0,0.00010758638381958008,,
math_15,math,mid,16,3,0.5,resid,9.961061664398585e-08,0.0,0.0015188753604888916,,
