anchor,layer,window,alpha,component,final_kl_mean,final_kl_lo,final_kl_hi,flip_rate,dnll_mean,dnll_lo,dnll_hi,n
final,12,5,0.25,resid,0.41379999547295143,-1.301609554582583e-08,4.845925426483153,0.08333333333333333,0.0,0.0,0.0,60
final,12,5,0.5,resid,3.2128230841940058,8.82494375353815e-09,20.233203744888304,0.2833333333333333,0.0,0.0,0.0,60
final,12,5,0.75,resid,8.77484669074116,1.4111104746916682e-07,21.580491828918454,0.7333333333333333,0.0,0.0,0.0,60
final,12,5,1.0,resid,11.530722605430872,4.491734948430804e-07,23.361285066604612,0.9,0.0,0.0,0.0,60
final,16,1,0.25,resid,0.17483375384055305,-1.5069096259701097e-08,1.5236596196889876,0.05,0.0,0.0,0.0,60
final,16,1,0.5,resid,3.1644288599248354,2.924906032930608e-08,20.100658512115476,0.3,0.0,0.0,0.0,60
final,16,1,0.75,resid,9.900553781698536,3.3252395326144324e-07,22.941396236419674,0.7833333333333333,0.0,0.0,0.0,60
final,16,1,1.0,resid,12.72528661623973,6.232264880168259e-07,24.544918727874755,0.9,0.0,0.0,0.0,60
final,16,3,0.25,resid,0.17483375384055305,-1.5069096259701097e-08,1.5236596196889876,0.05,0.0,0.0,0.0,60
final,16,3,0.5,resid,3.1644288599248354,2.924906032930608e-08,20.100658512115476,0.3,0.0,0.0,0.0,60
final,16,3,0.75,resid,9.900553781698536,3.3252395326144324e-07,22.941396236419674,0.7833333333333333,0.0,0.0,0.0,60
final,16,3,1.0,resid,12.72528661623973,6.232264880168259e-07,24.544918727874755,0.9,0.0,0.0,0.0,60
final,16,5,0.25,resid,0.17483375384055305,-1.5069096259701097e-08,1.5236596196889876,0.05,0.0,0.0,0.0,60
final,16,5,0.5,resid,3.1644288599248354,2.924906032930608e-08,20.100658512115476,0.3,0.0,0.0,0.0,60
final,16,5,0.75,resid,9.900553781698536,3.3252395326144324e-07,22.941396236419674,0.7833333333333333,0.0,0.0,0.0,60
final,16,5,1.0,resid,12.72528661623973,6.232264880168259e-07,24.544918727874755,0.9,0.0,0.0,0.0,60
mid,0,1,0.25,resid,0.00035552403411028,-9.299855499023125e-08,0.0023377502860967066,0.0,0.000523091604312261,-0.0029661156237125396,0.006040379405021666,60
