task_id,domain,layer,div_mon,div_pla
math_34,math,17,0.008163988590240479,0.010489821434020996
math_34,math,18,0.00841599702835083,0.00984281301498413
math_34,math,19,0.009649217128753662,0.010902464389801025
math_34,math,20,0.009933412075042725,0.010847330093383789
math_34,math,21,0.009286940097808838,0.01042872667312622
math_34,math,22,0.009335875511169434,0.009554684162139893
math_34,math,23,0.008070886135101318,0.007985353469848633
math_34,math,24,0.006624698638916016,0.0069013237953186035
math_34,math,25,0.006440281867980957,0.007111966609954834
math_34,math,26,0.005239665508270264,0.005231320858001709
math_34,math,27,0.014046013355255127,0.015440225601196289
code_17,code,0,0.0030084848403930664,0.005755126476287842
code_17,code,1,0.002247750759124756,0.004414737224578857
code_17,code,2,0.0021334290504455566,0.0041893720626831055
code_17,code,3,0.003343045711517334,0.006047070026397705
code_17,code,4,0.004341244697570801,0.0071291327476501465
code_17,code,5,0.0037483572959899902,0.006267905235290527
code_17,code,6,0.002960205078125,0.005167067050933838
code_17,code,7,0.0030042529106140137,0.005833566188812256
code_17,code,8,0.002959907054901123,0.005987703800201416
code_17,code,9,0.003318190574645996,0.006611883640289307
code_17,code,10,0.0030274391174316406,0.006350338459014893
code_17,code,11,0.003168761730194092,0.006150782108306885
code_17,code,12,0.002763986587524414,0.00533902645111084
code_17,code,13,0.002960503101348877,0.006805479526519775
code_17,code,14,0.0032726526260375977,0.007236003875732422
code_17,code,15,0.0032027363777160645,0.007301926612854004
code_17,code,16,0.0031301379203796387,0.006744801998138428
code_17,code,17,0.0034022927284240723,0.007115542888641357
code_17,code,18,0.003331303596496582,0.00770258903503418
code_17,code,19,0.0041928887367248535,0.009553074836730957
code_17,code,20,0.004153609275817871,0.009779036045074463
code_17,code,21,0.0032205581665039062,0.006866097450256348
code_17,code,22,0.003367602825164795,0.007228672504425049
code_17,code,23,0.002894461154937744,0.0062100887298583984
code_17,code,24,0.002278745174407959,0.004955112934112549
code_17,code,25,0.002181529998779297,0.004739701747894287
code_17,code,26,0.001793503761291504,0.0037168264389038086
code_17,code,27,0.004107058048248291,0.00844419002532959
math_47,math,0,0.0025989413261413574,0.0022432804107666016
math_47,math,1,0.0024283528327941895,0.0016501545906066895
math_47,math,2,0.0016154646873474121,0.0013544559478759766
math_47,math,3,0.0023794174194335938,0.0019870996475219727
math_47,math,4,0.002843141555786133,0.002618074417114258
math_47,math,5,0.0023971199989318848,0.002254307270050049
math_47,math,6,0.001986086368560791,0.0017719268798828125
math_47,math,7,0.0019788742065429688,0.001972377300262451
math_47,math,8,0.0019162893295288086,0.0019588470458984375
math_47,math,9,0.0020560622215270996,0.0022042393684387207
math_47,math,10,0.0020615458488464355,0.0021968483924865723
math_47,math,11,0.002140343189239502,0.0023550987243652344
math_47,math,12,0.0018398165702819824,0.0023137331008911133
math_47,math,13,0.002025127410888672,0.0027484893798828125
math_47,math,14,0.002091825008392334,0.0031189322471618652
math_47,math,15,0.0022124648094177246,0.0036290884017944336
math_47,math,16,0.0023015737533569336,0.00394207239151001
math_47,math,17,0.0024369359016418457,0.003791332244873047
math_47,math,18,0.002362489700317383,0.0036991238594055176
math_47,math,19,0.002840757369995117,0.004159450531005859
math_47,math,20,0.003124833106994629,0.004255235195159912
math_47,math,21,0.0024773478507995605,0.0031018853187561035
math_47,math,22,0.0025594234466552734,0.003046572208404541
math_47,math,23,0.002125561237335205,0.0026775598526000977
math_47,math,24,0.0015378594398498535,0.002026975154876709
math_47,math,25,0.0014450550079345703,0.0019401311874389648
math_47,math,26,0.0011810660362243652,0.0016658902168273926
math_47,math,27,0.002623438835144043,0.0024003982543945312
code_11,code,0,0.01580655574798584,0.01582998037338257
code_11,code,1,0.011012673377990723,0.011329829692840576
code_11,code,2,0.00756382942199707,0.007985830307006836
code_11,code,3,0.010107040405273438,0.011845946311950684
code_11,code,4,0.012380242347717285,0.01446908712387085
code_11,code,5,0.01052325963973999,0.012238621711730957
code_11,code,6,0.009053647518157959,0.010630249977111816
code_11,code,7,0.010472476482391357,0.012436985969543457
code_11,code,8,0.010118603706359863,0.012080192565917969
code_11,code,9,0.010663032531738281,0.013782143592834473
code_11,code,10,0.011401891708374023,0.015007853507995605
code_11,code,11,0.012299895286560059,0.01636815071105957
code_11,code,12,0.011735260486602783,0.015498042106628418
code_11,code,13,0.013787925243377686,0.017784953117370605
code_11,code,14,0.014325857162475586,0.018670260906219482
code_11,code,15,0.016114652156829834,0.02062511444091797
code_11,code,16,0.01706719398498535,0.020677924156188965
code_11,code,17,0.01901531219482422,0.023906230926513672
code_11,code,18,0.018855929374694824,0.024058520793914795
code_11,code,19,0.022785961627960205,0.02912372350692749
code_11,code,20,0.02696925401687622,0.03432399034500122
code_11,code,21,0.01964390277862549,0.02525275945663452
code_11,code,22,0.021754145622253418,0.02860814332962036
code_11,code,23,0.019319653511047363,0.024468183517456055
code_11,code,24,0.014207422733306885,0.01780802011489868
code_11,code,25,0.01364278793334961,0.01665318012237549
code_11,code,26,0.009757399559020996,0.011708855628967285
code_11,code,27,0.023056387901306152,0.028701841831207275
math_0,math,0,0.015540540218353271,0.015083074569702148
math_0,math,1,0.011644303798675537,0.011558353900909424
math_0,math,2,0.00874239206314087,0.008267462253570557
math_0,math,3,0.011537313461303711,0.010754704475402832
math_0,math,4,0.013577163219451904,0.012051701545715332
math_0,math,5,0.011934518814086914,0.011132478713989258
math_0,math,6,0.009866893291473389,0.010138213634490967
math_0,math,7,0.011162757873535156,0.01076573133468628
math_0,math,8,0.010348737239837646,0.010493814945220947
math_0,math,9,0.011334836483001709,0.010627329349517822
math_0,math,10,0.010906875133514404,0.010216832160949707
math_0,math,11,0.010762512683868408,0.010142147541046143
math_0,math,12,0.0102958083152771,0.009333670139312744
math_0,math,13,0.012156248092651367,0.009718120098114014
math_0,math,14,0.012937545776367188,0.01042163372039795
math_0,math,15,0.013470292091369629,0.011819303035736084
math_0,math,16,0.013621330261230469,0.011863350868225098
math_0,math,17,0.014780104160308838,0.0154801607131958
math_0,math,18,0.015059411525726318,0.01445472240447998
math_0,math,19,0.016527771949768066,0.017608642578125
math_0,math,20,0.01659458875656128,0.017371654510498047
math_0,math,21,0.0125809907913208,0.014974892139434814
math_0,math,22,0.01274961233139038,0.013682007789611816
math_0,math,23,0.011202096939086914,0.011943817138671875
math_0,math,24,0.009375691413879395,0.010006070137023926
math_0,math,25,0.008743822574615479,0.010369718074798584
math_0,math,26,0.007273375988006592,0.0076961517333984375
math_0,math,27,0.009342610836029053,0.021800458431243896
math_15,math,0,0.008543729782104492,0.007643401622772217
math_15,math,1,0.00824958086013794,0.0062980055809021
math_15,math,2,0.006817460060119629,0.005048692226409912
math_15,math,3,0.01008373498916626,0.00752943754196167
math_15,math,4,0.012433409690856934,0.00983661413192749
math_15,math,5,0.011231482028961182,0.008388817310333252
